Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2021-08-13,Arsenal,1,2,Kieran Tierney,Saved,33,Left Foot,,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live),0,Away,0,0.017222100868821144
2021-08-13,Brentford,1,11,Frank Onyeka,Off Target,7,Head,,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live),0,Home,0,0.05346401408314705
2021-08-13,Brentford,1,12,Bryan Mbeumo,Woodwork,16,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live),0,Home,0,0.11829660832881927
2021-08-13,Arsenal,1,16,Calum Chambers,Wayward,20,Right Foot,Half volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),0,Away,0,0.02556590735912323
2021-08-13,Brentford,1,22,Sergi Canós,Goal,17,Right Foot,,Ethan Pinnock,Pass (Live),,,0,Home,0,0.05214472487568855
2021-08-13,Brentford,1,28,Sergi Canós,Off Target,20,Right Foot,,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live),0,Home,0,0.06570620089769362
2021-08-13,Brentford,1,30,Bryan Mbeumo,Off Target,13,Right Foot,,Bryan Mbeumo,Dribble,Kristoffer Ajer,Pass (Live),0,Home,0,0.08069062232971191
2021-08-13,Arsenal,1,31,Folarin Balogun,Off Target,9,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),0,Away,0,0.09649531543254852
2021-08-13,Arsenal,1,33,Nicolas Pépé,Off Target,24,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live),0,Away,0,0.02441004849970341
2021-08-13,Arsenal,1,38,Folarin Balogun,Off Target,24,Right Foot,,,,,,0,Away,0,0.01919219270348549
2021-08-13,Arsenal,1,42,Folarin Balogun,Wayward,9,Head,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),0,Away,0,0.04176729917526245
2021-08-13,Arsenal,1,46,Nicolas Pépé,Blocked,16,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live),1,Away,0,0.05138415098190308
2021-08-13,Arsenal,2,51,Emile Smith Rowe,Saved,17,Right Foot,,Kieran Tierney,Pass (Live),Ben White,Interception,0,Away,0,0.07191664725542067
2021-08-13,Arsenal,2,60,Albert Sambi Lokonga,Saved,26,Left Foot,,Nicolas Pépé,Pass (Live),Albert Sambi Lokonga,Pass (Live),0,Away,0,0.01782683283090591
2021-08-13,Arsenal,2,64,Kieran Tierney,Blocked,18,Right Foot,Half volley,Bukayo Saka,Pass (Live),Albert Sambi Lokonga,Pass (Live),0,Away,0,0.04457394406199455
2021-08-13,Arsenal,2,65,Martinelli,Wayward,5,Head,,Nicolas Pépé,Pass (Dead),Kieran Tierney,Shot,0,Away,0,0.12124115228652955
2021-08-13,Brentford,2,66,Sergi Canós,Saved,16,Right Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live),0,Home,0,0.07258376479148865
2021-08-13,Arsenal,2,68,Calum Chambers,Blocked,20,Right Foot,,Granit Xhaka,Pass (Live),Bukayo Saka,Pass (Live),0,Away,0,0.036226443946361535
2021-08-13,Arsenal,2,70,Granit Xhaka,Off Target,14,Left Foot,Half volley,Calum Chambers,Pass (Live),Nicolas Pépé,Pass (Live),0,Away,0,0.05556105077266693
2021-08-13,Brentford,2,73,Christian Nørgaard,Goal,3,Head,,,,,,0,Home,0,0.8865982294082642
2021-08-13,Arsenal,2,76,Kieran Tierney,Off Target,16,Left Foot,Volley,Emile Smith Rowe,Pass (Live),Kieran Tierney,Pass (Live),0,Away,0,0.0910058617591858
2021-08-13,Arsenal,2,77,Nicolas Pépé,Off Target,25,Left Foot,Free kick,Kieran Tierney,Fouled,Bukayo Saka,Pass (Live),0,Away,0,0.050918858498334885
2021-08-13,Brentford,2,80,Christian Nørgaard,Off Target,3,Head,,Sergi Canós,Pass (Dead),Rico Henry,Pass (Live),0,Home,0,0.5586957931518555
2021-08-13,Arsenal,2,83,Nuno Tavares,Off Target,27,Left Foot,,Albert Sambi Lokonga,Pass (Live),Reiss Nelson,Pass (Live),0,Away,0,0.01419458258897066
2021-08-13,Arsenal,2,86,Granit Xhaka,Off Target,27,Left Foot,,Albert Sambi Lokonga,Pass (Live),Bukayo Saka,Pass (Live),0,Away,0,0.01880781352519989
2021-08-13,Arsenal,2,87,Nicolas Pépé,Saved,14,Left Foot,,Kieran Tierney,Pass (Live),Emile Smith Rowe,Pass (Live),0,Away,0,0.08568271994590759
2021-08-13,Arsenal,2,87,Pablo Marí,Off Target,4,Head,,Emile Smith Rowe,Pass (Live),Nicolas Pépé,Pass (Dead),0,Away,0,0.031568143516778946
2021-08-13,Arsenal,2,91,Albert Sambi Lokonga,Off Target,31,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),0,Away,0,0.010265735909342766
2021-08-13,Arsenal,2,92,Reiss Nelson,Blocked,18,Left Foot,Half volley,Kieran Tierney,Pass (Live),Kieran Tierney,Dribble,0,Away,0,0.03743357956409454
2021-08-13,Arsenal,2,92,Emile Smith Rowe,Off Target,17,Right Foot,,Reiss Nelson,Pass (Live),Reiss Nelson,Shot,0,Away,0,0.060589302331209176
2021-08-14,Manchester Utd,1,2,Scott McTominay,Blocked,13,Right Foot,,Bruno Fernandes,Pass (Live),Daniel James,Pass (Live),0,Home,1,0.05475971102714538
2021-08-14,Manchester Utd,1,6,Mason Greenwood,Saved,25,Left Foot,,Scott McTominay,Pass (Live),Bruno Fernandes,Pass (Live),0,Home,1,0.016773398965597153
2021-08-14,Leeds United,1,9,Mateusz Klich,Blocked,19,Right Foot,,Jack Harrison,Pass (Live),Raphael Dias Belloli,Pass (Dead),0,Away,1,0.04164135828614235
2021-08-14,Manchester Utd,1,11,Harry Maguire,Off Target,13,Head,,Luke Shaw,Pass (Dead),,,0,Home,1,0.024532323703169826
2021-08-14,Manchester Utd,1,12,Paul Pogba,Off Target,15,Left Foot,,Mason Greenwood,Pass (Live),Mason Greenwood,Dribble,0,Home,1,0.2299694418907165
2021-08-14,Manchester Utd,1,15,Daniel James,Blocked,17,Left Foot,Half volley,,,,,0,Home,1,0.02588074281811714
2021-08-14,Leeds United,1,16,Jack Harrison,Saved,24,Left Foot,Half volley,,,,,0,Away,1,0.01783052645623684
2021-08-14,Leeds United,1,16,Mateusz Klich,Saved,24,Right Foot,,Jack Harrison,Pass (Live),Mateusz Klich,Pass (Live),0,Away,1,0.01687727496027946
2021-08-14,Leeds United,1,26,Patrick Bamford,Off Target,11,Head,,Raphael Dias Belloli,Pass (Dead),Jack Harrison,Fouled,0,Away,1,0.10462424904108047
2021-08-14,Manchester Utd,1,27,Paul Pogba,Saved,33,Right Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),0,Home,1,0.019063765183091164
2021-08-14,Manchester Utd,1,30,Bruno Fernandes,Goal,13,Left Foot,Half volley,Paul Pogba,Pass (Live),Scott McTominay,Pass (Live),0,Home,1,0.3290913999080658
2021-08-14,Manchester Utd,1,33,Luke Shaw,Off Target,18,Left Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),0,Home,1,0.043794721364974976
2021-08-14,Leeds United,1,34,Raphael Dias Belloli,Blocked,21,Left Foot,,Patrick Bamford,Pass (Live),Stuart Dallas,Pass (Live),0,Away,1,0.022880351170897484
2021-08-14,Manchester Utd,1,36,Daniel James,Off Target,16,Right Foot,,Luke Shaw,Pass (Live),,,0,Home,1,0.10489168763160706
2021-08-14,Manchester Utd,1,42,Bruno Fernandes,Blocked,28,Right Foot,,Daniel James,Pass (Live),Victor Lindelöf,Pass (Live),0,Home,1,0.02128627523779869
2021-08-14,Manchester Utd,1,45,Daniel James,Saved,17,Right Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live),1,Home,1,0.09427323937416077
2021-08-14,Leeds United,2,49,Luke Ayling,Goal,26,Right Foot,,Stuart Dallas,Pass (Live),Junior Firpo,Pass (Dead),0,Away,1,0.021045027300715446
2021-08-14,Manchester Utd,2,52,Mason Greenwood,Goal,15,Left Foot,,Paul Pogba,Pass (Live),Luke Shaw,Pass (Live),0,Home,1,0.08111144602298738
2021-08-14,Manchester Utd,2,54,Bruno Fernandes,Goal,11,Left Foot,,Paul Pogba,Pass (Live),Fred,Pass (Live),0,Home,1,0.07142012566328049
2021-08-14,Manchester Utd,2,60,Bruno Fernandes,Goal,13,Right Foot,Half volley,Victor Lindelöf,Pass (Live),Scott McTominay,Pass (Live),0,Home,1,0.3619175851345062
2021-08-14,Manchester Utd,2,68,Fred,Goal,14,Left Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live),0,Home,1,0.1419793665409088
2021-08-14,Manchester Utd,2,74,Mason Greenwood,Off Target,26,Left Foot,,,,,,0,Home,1,0.02173286117613316
2021-08-14,Leeds United,2,79,Tyler Roberts,Off Target,27,Right Foot,Half volley,,,,,0,Away,1,0.011944416910409927
2021-08-14,Leeds United,2,80,Hélder Costa,Off Target,22,Right Foot,Half volley,Liam Cooper,Pass (Live),,,0,Away,1,0.01822101324796677
2021-08-14,Leeds United,2,86,Raphael Dias Belloli,Off Target,16,Left Foot,,Tyler Roberts,Pass (Live),Pascal Struijk,Pass (Live),0,Away,1,0.2814135551452637
2021-08-14,Leeds United,2,87,Luke Ayling,Off Target,17,Right Foot,Half volley,,,,,0,Away,1,0.03186383843421936
2021-08-14,Leicester City,1,10,Jamie Vardy,Saved,16,Left Foot,Half volley,Ayoze Pérez,Pass (Live),Wilfred Ndidi,Pass (Live),0,Home,2,0.045685607939958565
2021-08-14,Leicester City,1,16,Jamie Vardy,Blocked,11,Right Foot,,,,,,0,Home,2,0.05406871438026428
2021-08-14,Wolves,1,18,Adama Traoré,Blocked,23,Right Foot,,Adama Traoré,Dribble,Raúl Jiménez,Pass (Live),0,Away,2,0.0375504344701767
2021-08-14,Wolves,1,24,Rúben Neves,Off Target,30,Right Foot,,Raúl Jiménez,Pass (Live),Adama Traoré,Pass (Live),0,Away,2,0.012781754136085509
2021-08-14,Leicester City,1,26,Jamie Vardy,Saved,22,Left Foot,,Ayoze Pérez,Pass (Live),Daniel Amartey,Pass (Live),0,Home,2,0.028641644865274433
2021-08-14,Leicester City,1,34,Jamie Vardy,Wayward,12,Right Foot,Back heel,James Maddison,Pass (Live),,,0,Home,2,0.08058760315179825
2021-08-14,Wolves,1,36,Adama Traoré,Off Target,16,Right Foot,,João Moutinho,Pass (Live),João Moutinho,Interception,0,Away,2,0.5314221382141113
2021-08-14,Leicester City,1,41,Jamie Vardy,Goal,9,Left Foot,Volley,Ricardo Pereira,Pass (Live),Ricardo Pereira,Dribble,0,Home,2,0.11439947038888933
2021-08-14,Leicester City,1,46,Harvey Barnes,Saved,15,Right Foot,,Jamie Vardy,Pass (Live),Harvey Barnes,Pass (Live),1,Home,2,0.11008020490407944
2021-08-14,Leicester City,1,46,Youri Tielemans,Saved,31,Right Foot,,Ayoze Pérez,Pass (Live),James Maddison,Pass (Live),1,Home,2,0.017394647002220154
2021-08-14,Wolves,2,47,Adama Traoré,Blocked,18,Left Foot,,,,,,0,Away,2,0.09651535004377364
2021-08-14,Wolves,2,47,João Moutinho,Off Target,26,Right Foot,,,,,,0,Away,2,0.0179598331451416
2021-08-14,Wolves,2,51,Francisco Trincão,Blocked,10,Left Foot,,Rúben Neves,Pass (Live),Francisco Trincão,Pass (Live),0,Away,2,0.06417565792798996
2021-08-14,Wolves,2,53,Raúl Jiménez,Saved off Target,9,Head,,Fernando Marçal,Pass (Live),Adama Traoré,Pass (Live),0,Away,2,0.02289285324513912
2021-08-14,Wolves,2,57,Ki-Jana Hoever,Off Target,22,Right Foot,,Francisco Trincão,Pass (Live),Ki-Jana Hoever,Pass (Live),0,Away,2,0.03382989764213562
2021-08-14,Wolves,2,61,Adama Traoré,Blocked,23,Right Foot,,Francisco Trincão,Pass (Live),Francisco Trincão,Dribble,0,Away,2,0.0160408616065979
2021-08-14,Wolves,2,65,Raúl Jiménez,Off Target,7,Head,,Ki-Jana Hoever,Pass (Live),Rúben Neves,Pass (Live),0,Away,2,0.08631426841020584
2021-08-14,Wolves,2,67,Adama Traoré,Saved,17,Right Foot,Half volley,Adama Traoré,Dribble,Romain Saïss,Pass (Live),0,Away,2,0.02976351790130138
2021-08-14,Wolves,2,73,Francisco Trincão,Saved,26,Left Foot,,Raúl Jiménez,Pass (Live),Francisco Trincão,Pass (Live),0,Away,2,0.014370080083608627
2021-08-14,Leicester City,2,77,Jamie Vardy,Off Target,19,Right Foot,,Youri Tielemans,Pass (Live),Kelechi Iheanacho,Pass (Live),0,Home,2,0.13304245471954346
2021-08-14,Wolves,2,79,Adama Traoré,Blocked,18,Left Foot,,Adama Traoré,Tackle,,,0,Away,2,0.03690661862492561
2021-08-14,Wolves,2,87,Max Kilman,Blocked,8,Left Foot,,Max Kilman,Dribble,Raúl Jiménez,Pass (Live),0,Away,2,0.15790164470672607
2021-08-14,Wolves,2,87,Max Kilman,Saved,8,Head,,Rúben Neves,Pass (Live),Ki-Jana Hoever,Pass (Live),0,Away,2,0.03833985328674317
2021-08-14,Wolves,2,88,Morgan Gibbs-White,Blocked,16,Left Foot,,Adama Traoré,Pass (Live),Fernando Marçal,Pass (Live),0,Away,2,0.08141498267650604
2021-08-14,Wolves,2,89,Raúl Jiménez,Wayward,18,Right Foot,Volley,,,,,0,Away,2,0.048960588872432716
2021-08-14,Leicester City,2,92,Kelechi Iheanacho,Blocked,19,Left Foot,,Jamie Vardy,Pass (Live),Youri Tielemans,Pass (Live),0,Home,2,0.08418118208646774
2021-08-14,Burnley,1,2,James Tarkowski,Goal,2,Head,,Ashley Westwood,Pass (Dead),Charlie Taylor,Pass (Dead),0,Home,3,0.6315198540687561
2021-08-14,Brighton,1,16,Solly March,Saved,28,Left Foot,Free kick,Neal Maupay,Fouled,Steven Alzate,Pass (Live),0,Away,3,0.05230368673801422
2021-08-14,Burnley,1,19,Jack Cork,Off Target,19,Right Foot,Half volley,Ashley Westwood,Pass (Live),,,0,Home,3,0.0694141536951065
2021-08-14,Burnley,1,19,Jóhann Berg Guðmundsson,Woodwork,23,Right Foot,,,,,,0,Home,3,0.0422196090221405
2021-08-14,Burnley,1,22,Chris Wood,Saved,26,Left Foot,,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live),0,Home,3,0.024006633087992668
2021-08-14,Burnley,1,31,Jay Rodriguez,Saved,16,Right Foot,,Chris Wood,Dribble,Ashley Westwood,Pass (Live),0,Home,3,0.09369844943284987
2021-08-14,Brighton,1,35,Shane Duffy,Off Target,10,Head,,Pascal Groß,Pass (Dead),,,0,Away,3,0.02210688963532448
2021-08-14,Burnley,1,36,Ben Mee,Woodwork,4,Head,,,,,,0,Home,3,0.38134732842445374
2021-08-14,Burnley,1,36,James Tarkowski,Off Target,7,Right Foot,Volley,,,,,0,Home,3,0.4303871095180512
2021-08-14,Brighton,1,38,Neal Maupay,Saved,17,Right Foot,Overhead kick,Enock Mwepu,Pass (Live),Neal Maupay,Pass (Live),0,Away,3,0.05208665505051613
2021-08-14,Brighton,1,41,Shane Duffy,Blocked,11,Head,,Solly March,Pass (Dead),,,0,Away,3,0.013374991714954376
2021-08-14,Brighton,1,41,Pascal Groß,Blocked,20,Right Foot,Half volley,Shane Duffy,Shot,,,0,Away,3,0.042472630739212036
2021-08-14,Brighton,1,41,Neal Maupay,Off Target,9,Head,,Solly March,Pass (Live),Adam Webster,Pass (Live),0,Away,3,0.04790227860212326
2021-08-14,Brighton,2,47,Neal Maupay,Blocked,11,Right Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live),0,Away,3,0.07046572118997574
2021-08-14,Brighton,2,47,Adam Webster,Blocked,9,Head,,Pascal Groß,Pass (Dead),Neal Maupay,Shot,0,Away,3,0.014093559235334396
2021-08-14,Burnley,2,52,Jóhann Berg Guðmundsson,Off Target,20,Left Foot,Free kick,Charlie Taylor,Fouled,Jay Rodriguez,Pass (Live),0,Home,3,0.11826301366090775
2021-08-14,Burnley,2,54,James Tarkowski,Off Target,4,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live),0,Home,3,0.03898928686976433
2021-08-14,Brighton,2,58,Leandro Trossard,Off Target,11,Left Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live),0,Away,3,0.07632418721914291
2021-08-14,Brighton,2,67,Shane Duffy,Saved,12,Head,,Solly March,Pass (Dead),Leandro Trossard,Dribble,0,Away,3,0.01416459586471319
2021-08-14,Burnley,2,68,Chris Wood,Wayward,11,Head,,Dwight McNeil,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),0,Home,3,0.04131019115447998
2021-08-14,Burnley,2,72,Chris Wood,Blocked,21,Right Foot,,Ashley Barnes,Pass (Live),,,0,Home,3,0.043586350977420814
2021-08-14,Brighton,2,73,Neal Maupay,Goal,5,Right Foot,Deflected,Jakub Moder,Pass (Live),Yves Bissouma,Pass (Live),0,Away,3,0.6447369456291199
2021-08-14,Brighton,2,78,Alexis Mac Allister,Goal,10,Right Foot,,Pascal Groß,Pass (Live),Adam Webster,Pass (Live),0,Away,3,0.33932000398635864
2021-08-14,Burnley,2,84,Jack Cork,Blocked,25,Right Foot,,Josh Brownhill,Pass (Live),Matthew Lowton,Pass (Live),0,Home,3,0.020670229569077492
2021-08-14,Burnley,2,85,Matěj Vydra,Blocked,21,Left Foot,,Chris Wood,Pass (Live),Matthew Lowton,Pass (Live),0,Home,3,0.015838870778679848
2021-08-14,Burnley,2,88,Matěj Vydra,Off Target,8,Head,,Charlie Taylor,Pass (Live),Ben Mee,Pass (Live),0,Home,3,0.008357822895050049
2021-08-14,Brighton,2,92,Jakub Moder,Saved,22,Right Foot,Half volley,Robert Sánchez,Pass (Live),Lewis Dunk,Pass (Live),0,Away,3,0.2881555259227753
2021-08-14,Brighton,2,92,Pascal Groß,Blocked,28,Right Foot,Lob,Jakub Moder,Shot,,,0,Away,3,0.011738255620002748
2021-08-14,Chelsea,1,7,César Azpilicueta,Off Target,22,Right Foot,,,,,,0,Home,4,0.02850866504013538
2021-08-14,Chelsea,1,10,Christian Pulisic,Saved,11,Head,,Marcos Alonso,Pass (Live),Mateo Kovačić,Pass (Live),0,Home,4,0.0477067306637764
2021-08-14,Chelsea,1,13,Mateo Kovačić,Blocked,23,Right Foot,,Timo Werner,Pass (Live),Marcos Alonso,Pass (Dead),0,Home,4,0.022375468164682392
2021-08-14,Chelsea,1,15,Mason Mount,Saved,27,Right Foot,Free kick,Mason Mount,Fouled,Christian Pulisic,Pass (Live),0,Home,4,0.047117963433265686
2021-08-14,Chelsea,1,22,Mateo Kovačić,Wayward,26,Right Foot,Half volley,,,,,0,Home,4,0.015712371096014977
2021-08-14,Chelsea,1,27,Marcos Alonso,Goal,24,Left Foot,Free kick,Mason Mount,Fouled,César Azpilicueta,Pass (Live),0,Home,4,0.06242433562874794
2021-08-14,Chelsea,1,34,Mason Mount,Blocked,25,Right Foot,Free kick,Christian Pulisic,Fouled,Jorginho,Pass (Live),0,Home,4,0.07115417718887329
2021-08-14,Chelsea,1,40,Christian Pulisic,Goal,6,Left Foot,,César Azpilicueta,Pass (Live),Mason Mount,Pass (Live),0,Home,4,0.590463399887085
2021-08-14,Chelsea,1,44,Timo Werner,Off Target,9,Right Foot,,Marcos Alonso,Pass (Live),Jorginho,Pass (Live),0,Home,4,0.12857221066951752
2021-08-14,Chelsea,2,47,Marcos Alonso,Saved,15,Left Foot,Volley,Jorginho,Pass (Live),Mason Mount,Pass (Live),0,Home,4,0.07581831514835358
2021-08-14,Chelsea,2,48,Marcos Alonso,Off Target,28,Left Foot,Free kick,Mason Mount,Fouled,,,0,Home,4,0.04857318103313446
2021-08-14,Crystal Palace,2,53,Wilfried Zaha,Blocked,12,Right Foot,,Jordan Ayew,Pass (Live),,,0,Away,4,0.1371941864490509
2021-08-14,Crystal Palace,2,54,Jeffrey Schlupp,Off Target,10,Left Foot,Half volley,Marc Guéhi,Pass (Live),Jaïro Riedewald,Pass (Dead),0,Away,4,0.1185123547911644
2021-08-14,Chelsea,2,58,Trevoh Chalobah,Goal,27,Right Foot,,Mateo Kovačić,Pass (Live),Jorginho,Pass (Live),0,Home,4,0.02017160877585411
2021-08-14,Crystal Palace,2,63,Jordan Ayew,Saved,8,Head,,James McArthur,Pass (Live),,,0,Away,4,0.029565202072262764
2021-08-14,Chelsea,2,68,Mason Mount,Blocked,26,Right Foot,,Mateo Kovačić,Pass (Live),Reece James,Pass (Live),0,Home,4,0.028487274423241605
2021-08-14,Crystal Palace,2,90,Christian Benteke,Off Target,14,Right Foot,Volley,Joachim Andersen,Pass (Live),Wilfried Zaha,Pass (Live),0,Away,4,0.03642881289124489
2021-08-14,Aston Villa,1,2,Emi Buendía,Blocked,22,Right Foot,,Ashley Young,Pass (Live),Danny Ings,Pass (Live),0,Away,5,0.029264276847243312
2021-08-14,Watford,1,3,Ismaila Sarr,Off Target,19,Right Foot,Volley,,,,,0,Home,5,0.0380176305770874
2021-08-14,Watford,1,10,Emmanuel Dennis,Blocked,12,Right Foot,,Ismaila Sarr,Pass (Live),Tom Cleverley,Pass (Live),0,Home,5,0.12090542167425156
2021-08-14,Watford,1,10,Emmanuel Dennis,Goal,11,Right Foot,,Emmanuel Dennis,Shot,,,0,Home,5,0.10937988758087157
2021-08-14,Watford,1,28,Ismaila Sarr,Saved,23,Right Foot,Half volley,Ismaila Sarr,Dribble,Emmanuel Dennis,Pass (Live),0,Home,5,0.049469828605651855
2021-08-14,Watford,1,29,Emmanuel Dennis,Saved,12,Right Foot,,Emmanuel Dennis,Dribble,Ismaila Sarr,Pass (Live),0,Home,5,0.0896204337477684
2021-08-14,Watford,1,32,Juraj Kucka,Off Target,21,Right Foot,Half volley,Emmanuel Dennis,Pass (Live),Juraj Kucka,Pass (Live),0,Home,5,0.0800730288028717
2021-08-14,Aston Villa,1,33,Ashley Young,Off Target,14,Head,,Matt Targett,Pass (Live),Anwar El Ghazi,Pass (Dead),0,Away,5,0.01643071137368679
2021-08-14,Watford,1,40,Christian Kabasele,Off Target,6,Head,,Ken Sema,Pass (Dead),Ken Sema,Fouled,0,Home,5,0.416583389043808
2021-08-14,Watford,1,42,Ismaila Sarr,Goal,16,Right Foot,Deflected,Emmanuel Dennis,Pass (Live),Ismaila Sarr,Pass (Live),0,Home,5,0.08475480228662491
2021-08-14,Watford,1,43,Juraj Kucka,Off Target,27,Left Foot,,Emmanuel Dennis,Pass (Live),Emmanuel Dennis,Dribble,0,Home,5,0.023013308644294742
2021-08-14,Aston Villa,2,49,Jacob Ramsey,Off Target,19,Left Foot,Half volley,,,,,0,Away,5,0.030585382133722305
2021-08-14,Aston Villa,2,50,John McGinn,Off Target,23,Left Foot,,,,,,0,Away,5,0.022975539788603783
2021-08-14,Watford,2,51,Emmanuel Dennis,Saved,19,Right Foot,,Ismaila Sarr,Pass (Live),Emmanuel Dennis,Pass (Live),0,Home,5,0.13266627490520475
2021-08-14,Watford,2,64,Emmanuel Dennis,Blocked,15,Right Foot,,Ken Sema,Pass (Live),Emmanuel Dennis,Pass (Live),0,Home,5,0.14025627076625824
2021-08-14,Watford,2,67,Cucho,Goal,22,Right Foot,,Tom Cleverley,Pass (Live),Juraj Kucka,Fouled,0,Home,5,0.044856376945972436
2021-08-14,Aston Villa,2,70,John McGinn,Goal,19,Left Foot,Half volley,Leon Bailey,Pass (Live),Ashley Young,Pass (Live),0,Away,5,0.03374207019805908
2021-08-14,Aston Villa,2,83,Leon Bailey,Blocked,15,Right Foot,,Jacob Ramsey,Pass (Live),Bertrand Traoré,Pass (Live),0,Away,5,0.08072580397129059
2021-08-14,Aston Villa,2,88,Leon Bailey,Off Target,28,Left Foot,Free kick,Jacob Ramsey,Fouled,Danny Ings,Dribble,0,Away,5,0.046799775213003166
2021-08-14,Watford,2,90,Cucho,Saved,23,Right Foot,,Oghenekaro Etebo,Pass (Live),,,0,Home,5,0.03398778662085533
2021-08-14,Aston Villa,2,90,John McGinn,Wayward,23,Left Foot,Half volley,Ashley Young,Pass (Live),Marvelous Nakamba,Pass (Live),0,Away,5,0.028015201911330227
2021-08-14,Aston Villa,2,97,Danny Ings (pen),Goal,12,Right Foot,,Bertrand Traoré,Fouled,Bertrand Traoré,Dribble,0,Away,5,0.7611688375473022
2021-08-14,Aston Villa,2,98,Matty Cash,Wayward,25,Right Foot,Volley,,,,,0,Away,5,0.010808209888637066
2021-08-14,Aston Villa,2,98,Bertrand Traoré,Blocked,16,Left Foot,Half volley,Bertrand Traoré,Dribble,Matty Cash,Shot,0,Away,5,0.07666414231061935
2021-08-14,Everton,1,3,Allan,Saved,21,Right Foot,,Demarai Gray,Pass (Live),Allan,Pass (Live),0,Home,6,0.034891288727521896
2021-08-14,Southampton,1,5,Adam Armstrong,Off Target,14,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled,0,Away,6,0.014368223026394844
2021-08-14,Everton,1,10,Dominic Calvert-Lewin,Off Target,4,Head,,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live),0,Home,6,0.11126416921615599
2021-08-14,Southampton,1,22,Adam Armstrong,Goal,15,Right Foot,,Che Adams,Pass (Live),Che Adams,Tackle,0,Away,6,0.3611645698547363
2021-08-14,Everton,1,34,Lucas Digne,Blocked,23,Left Foot,Free kick,Dominic Calvert-Lewin,Fouled,Demarai Gray,Pass (Live),0,Home,6,0.08816667646169662
2021-08-14,Everton,1,35,Dominic Calvert-Lewin,Off Target,6,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live),0,Home,6,0.09325270354747772
2021-08-14,Southampton,1,41,Adam Armstrong,Saved,16,Left Foot,Half volley,,,,,0,Away,6,0.04533754661679268
2021-08-14,Everton,1,44,Lucas Digne,Off Target,26,Left Foot,Half volley,,,,,0,Home,6,0.01725037768483162
2021-08-14,Everton,2,47,Richarlison,Goal,5,Left Foot,Volley,Andros Townsend,Pass (Live),,,0,Home,6,0.5539305806159973
2021-08-14,Everton,2,51,Michael Keane,Blocked,8,Left Foot,,Richarlison,Pass (Live),Lucas Digne,Pass (Live),0,Home,6,0.07966297119855881
2021-08-14,Everton,2,51,Dominic Calvert-Lewin,Saved,2,Right Foot,Half volley,Michael Keane,Shot,,,0,Home,6,0.14970332384109494
2021-08-14,Everton,2,54,Abdoulaye Doucouré,Blocked,13,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live),0,Home,6,0.023616647347807884
2021-08-14,Southampton,2,72,Mohammed Salisu,Saved,16,Left Foot,Overhead kick,Romain Perraud,Pass (Live),,,0,Away,6,0.07476485520601273
2021-08-14,Everton,2,74,Alex Iwobi,Wayward,9,Right Foot,Volley,Séamus Coleman,Pass (Live),Abdoulaye Doucouré,Pass (Live),0,Home,6,0.08183462172746657
2021-08-14,Everton,2,76,Abdoulaye Doucouré,Goal,17,Right Foot,,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live),0,Home,6,0.03909936174750328
2021-08-14,Southampton,2,78,Oriol Romeu,Blocked,25,Right Foot,Half volley,,,,,0,Away,6,0.02631534077227116
2021-08-14,Everton,2,81,Dominic Calvert-Lewin,Goal,6,Head,Diving header,Richarlison,Pass (Live),Alex Iwobi,Pass (Live),0,Home,6,0.5519211292266846
2021-08-14,Everton,2,85,Dominic Calvert-Lewin,Off Target,16,Right Foot,,Lucas Digne,Pass (Live),,,0,Home,6,0.0942600816488266
2021-08-14,Southampton,2,87,Ibrahima Diallo,Blocked,5,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled,0,Away,6,0.058650262653827674
